A,G,O,Athelete,M/F,A2,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,1,1,Craig Alexander,Pro,--,3,23:17,01:12,5 / 6 / 6,01:08,2:03:58,27.1,2 / 2 / 2,01:29,1:15:08,05:44,1 / 1 / 1,3:44:57
2,2,2,Greg Bennett,Pro,--,7,23:15,01:12,3 / 4 / 4,01:02,2:04:58,26.89,3 / 3 / 3,01:38,1:16:24,05:49,3 / 3 / 3,3:47:14
3,3,3,Tj Tollakson,Pro,--,1,24:25,01:15,10 / 14 / 15,01:03,2:02:30,27.43,1 / 1 / 1,01:39,1:19:18,06:03,4 / 4 / 4,3:48:52
4,4,4,Richie Cunningham,Pro,--,2,23:16,01:12,4 / 5 / 5,01:01,2:10:08,25.82,5 / 8 / 8,01:25,1:20:40,06:09,5 / 7 / 7,3:56:29
5,5,5,James Bowstead,Pro,--,5,24:30,01:16,11 / 15 / 16,01:11,2:08:42,26.11,4 / 6 / 6,01:41,1:24:26,06:26,8 / 16 / 16,4:00:29
6,6,6,David Kahn,Pro,--,10,22:47,01:10,1 / 2 / 2,01:06,2:14:02,25.07,9 / 16 / 16,01:48,1:23:44,06:23,6 / 14 / 14,4:03:24
1,7,7,Steve Johnson,M,35,1007,26:59,01:23,9 / 46 / 56,01:43,2:11:25,25.57,1 / 11 / 11,01:46,1:21:56,06:15,2 / 9 / 9,4:03:47
2,8,8,Mike Gadzinski,M,35,1057,25:02,01:17,4 / 17 / 18,01:19,2:11:30,25.55,2 / 12 / 12,01:49,1:25:48,06:32,4 / 22 / 22,4:05:26
1,9,9,Christopher Thomas,M,40,897,26:35,01:22,3 / 32 / 37,01:27,2:11:49,25.49,3 / 13 / 13,01:47,1:24:54,06:28,3 / 20 / 20,4:06:30
7,10,10,Andrew Imrie,Pro,--,38,24:10,01:15,9 / 11 / 12,01:30,2:12:22,25.38,7 / 14 / 14,01:41,1:27:22,06:40,13 / 34 / 35,4:07:02
8,11,11,Kyle Pawlaczyk,Pro,--,8,27:20,01:24,19 / 57 / 70,01:21,2:13:16,25.21,8 / 15 / 15,01:50,1:24:30,06:27,9 / 18 / 18,4:08:16
