A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,21,23,CHRISTOPHE JOLY,M,40,1122,59:58,01:33,8 / 98 / 123,03:05,4:59:24,22.44,1 / 12 / 12,01:28,3:28:01,07:56,4 / 42 / 49,9:31:56
2,24,27,david ciaverella,M,40,1306,1:00:42,01:34,14 / 118 / 146,03:39,5:04:48,22.05,2 / 21 / 22,01:36,3:22:49,07:44,3 / 30 / 36,9:33:34
3,32,38,STEVEN MANDEL,M,40,1323,1:06:26,01:43,52 / 295 / 348,04:23,5:15:22,21.31,6 / 63 / 68,02:26,3:18:26,07:34,1 / 21 / 24,9:47:03
4,41,49,DARREN COX,M,40,1300,1:00:32,01:34,12 / 113 / 140,04:24,5:10:27,21.65,4 / 42 / 44,02:28,3:36:59,08:16,10 / 64 / 74,9:54:50
5,60,71,Mark Prinzel,M,40,1411,1:10:08,01:48,88 / 450 / 533,03:37,5:31:04,20.3,24 / 158 / 173,03:25,3:20:41,07:39,2 / 26 / 32,10:08:55
6,62,73,HUGO RIBEIRO,M,40,1111,1:00:14,01:33,9 / 100 / 126,04:11,5:11:10,21.6,5 / 46 / 50,02:18,3:51:53,08:51,16 / 120 / 139,10:09:46
7,63,74,Erik Wilde,M,40,1078,1:04:50,01:40,39 / 243 / 287,06:26,5:20:02,21,8 / 79 / 87,02:43,3:38:04,08:19,11 / 69 / 81,10:12:05
8,69,81,ANDREW STRONG,M,40,1200,1:19:07,02:02,194 / 863 / 1049,04:30,5:09:33,21.71,3 / 38 / 40,02:57,3:39:39,08:23,12 / 76 / 88,10:15:46
9,70,82,Shawn Burke,M,40,1258,58:37,01:31,6 / 71 / 85,05:21,5:36:52,19.95,30 / 195 / 212,03:49,3:31:13,08:03,7 / 47 / 56,10:15:52
10,72,84,MITCHELL FINNIE,M,40,101,1:10:55,01:50,96 / 478 / 571,05:21,5:22:36,20.83,12 / 99 / 109,03:30,3:33:49,08:09,9 / 56 / 65,10:16:11
11,79,92,John Potter,M,40,1267,56:28,01:27,3 / 37 / 46,03:37,5:25:28,20.65,17 / 123 / 134,01:44,3:53:08,08:53,18 / 125 / 144,10:20:25
12,83,97,Ted Rasoumoff,M,40,1160,1:00:39,01:34,13 / 116 / 144,04:28,5:20:17,20.98,10 / 82 / 90,01:42,3:54:54,08:57,21 / 136 / 156,10:22:00
13,92,106,Jeff Bassett,M,40,1235,1:11:12,01:50,100 / 497 / 592,04:58,5:24:49,20.69,16 / 119 / 130,02:18,3:41:43,08:27,13 / 82 / 97,10:25:00
14,97,111,Neil Hammond,M,40,1397,1:02:53,01:37,25 / 172 / 204,03:13,5:45:35,19.45,43 / 260 / 285,02:43,3:32:11,08:05,8 / 48 / 57,10:26:35
15,102,117,Pablo Testa,M,40,1129,58:33,01:30,5 / 68 / 80,05:23,5:26:52,20.56,18 / 133 / 145,03:46,3:54:23,08:56,20 / 134 / 154,10:28:57
16,103,118,DARRYL TAINSH,M,40,1333,1:03:17,01:38,30 / 197 / 233,03:57,5:27:38,20.51,20 / 137 / 150,02:04,3:52:46,08:53,17 / 123 / 142,10:29:42
17,104,119,Christopher Thompson,M,40,1260,1:13:16,01:53,123 / 601 / 729,04:57,5:39:17,19.81,32 / 214 / 233,01:57,3:30:17,08:01,5 / 45 / 54,10:29:44
18,110,125,Christian Krueger,M,40,1100,54:11,01:24,1 / 17 / 22,04:13,5:29:32,20.39,22 / 148 / 163,02:50,4:01:31,09:13,28 / 163 / 189,10:32:17
19,115,131,SAMUEL OLIVEIRA,M,40,1315,1:07:13,01:44,61 / 324 / 380,06:49,5:17:40,21.15,7 / 68 / 76,03:19,3:58:40,09:06,25 / 150 / 174,10:33:41
20,122,138,LORAN STORTS,M,40,1337,1:02:57,01:37,26 / 176 / 209,04:30,5:28:01,20.49,21 / 141 / 155,04:24,3:58:53,09:07,26 / 151 / 175,10:38:45
21,138,155,Mark Sortino,M,40,1219,1:06:47,01:43,56 / 305 / 359,05:35,5:43:07,19.59,40 / 242 / 264,03:35,3:46:08,08:37,14 / 100 / 116,10:45:12
22,139,156,PAULO CODINHA,M,40,1207,1:00:25,01:33,11 / 107 / 134,04:08,5:23:52,20.75,14 / 111 / 122,02:55,4:14:16,09:42,40 / 222 / 265,10:45:36
23,146,168,STEVE SCHELL,M,40,1089,1:06:49,01:43,57 / 307 / 361,04:42,5:24:28,20.71,15 / 114 / 125,06:44,4:06:41,09:24,32 / 178 / 211,10:49:24
24,149,171,Michael Gorman,M,40,1270,56:26,01:27,2 / 36 / 44,03:10,5:22:35,20.83,11 / 97 / 107,01:33,4:26:33,10:10,57 / 281 / 338,10:50:17
25,150,172,ANDREW SULLIVAN,M,40,1072,1:06:46,01:43,55 / 304 / 358,05:35,5:40:25,19.74,35 / 224 / 243,04:27,3:53:11,08:54,19 / 126 / 145,10:50:24
26,151,173,Private,M,40,1154,1:13:22,01:53,127 / 607 / 738,03:48,5:32:34,20.21,27 / 170 / 185,04:02,3:56:53,09:02,24 / 147 / 167,10:50:39
27,154,177,Anthony Carillo,M,40,1417,1:20:25,02:04,211 / 913 / 1114,05:07,5:20:06,20.99,9 / 80 / 88,05:32,4:00:43,09:11,27 / 159 / 185,10:51:53
28,155,178,Jim Naroski,M,40,1221,1:11:31,01:51,103 / 514 / 614,06:13,5:35:54,20.01,29 / 184 / 200,02:57,3:55:40,08:59,23 / 141 / 161,10:52:15
29,159,182,WILLIAM CIANCANELLI,M,40,1080,1:09:32,01:48,79 / 426 / 503,05:22,5:33:36,20.14,28 / 179 / 195,02:49,4:03:18,09:17,29 / 168 / 196,10:54:37
30,162,185,MICHAEL ZANIO,M,40,1121,1:02:13,01:36,20 / 151 / 182,03:01,5:37:43,19.9,31 / 203 / 220,01:38,4:11:25,09:35,37 / 205 / 246,10:56:00
31,185,211,ANTONY MANIATIS,M,40,1404,1:08:17,01:46,68 / 377 / 443,05:49,5:27:32,20.52,19 / 136 / 149,04:59,4:21:18,09:58,49 / 255 / 307,11:07:55
32,191,217,Mike Gade,M,40,1103,1:10:18,01:49,92 / 454 / 538,06:11,5:42:00,19.65,38 / 236 / 256,03:25,4:08:00,09:27,34 / 184 / 218,11:09:54
33,215,246,Mike Behler,M,40,1370,1:15:51,01:57,155 / 718 / 864,05:22,5:41:59,19.65,37 / 235 / 255,03:56,4:11:49,09:36,38 / 210 / 251,11:18:57
34,217,250,David Gale,M,40,1248,1:08:06,01:45,66 / 371 / 433,05:01,5:40:21,19.74,34 / 223 / 242,02:52,4:23:37,10:03,53 / 261 / 315,11:19:57
35,218,252,TIM REED,M,40,1168,1:13:29,01:54,131 / 614 / 745,07:34,5:22:44,20.82,13 / 100 / 110,06:13,4:30:27,10:19,67 / 313 / 372,11:20:27
36,223,258,Tsutomu Ishida,M,40,1316,1:20:48,02:05,218 / 926 / 1132,07:55,5:53:22,19.02,57 / 327 / 361,05:59,3:55:39,08:59,22 / 139 / 159,11:23:43
37,224,260,Jerry Busheff,M,40,1430,1:11:30,01:51,102 / 513 / 613,05:41,5:43:23,19.57,41 / 244 / 266,05:34,4:18:06,09:51,45 / 240 / 288,11:24:14
38,225,261,Adrian Clark,M,40,1343,1:09:34,01:48,80 / 427 / 504,05:04,5:39:39,19.79,33 / 216 / 235,04:29,4:25:55,10:08,55 / 275 / 331,11:24:41
39,230,266,KEVIN FARLEY,M,40,1084,1:00:49,01:34,15 / 122 / 151,04:27,5:31:37,20.26,26 / 164 / 179,02:51,4:47:54,10:59,93 / 430 / 515,11:27:38
40,233,270,Scott Torneten,M,40,1311,1:03:11,01:38,28 / 188 / 222,06:16,5:57:47,18.78,67 / 368 / 411,03:19,4:17:29,09:49,44 / 237 / 285,11:28:02
41,237,274,Jeffrey Rhodes,M,40,1165,1:05:17,01:41,42 / 251 / 295,05:30,5:29:40,20.38,23 / 150 / 165,03:56,4:44:36,10:51,88 / 410 / 491,11:28:59
42,244,281,Scott Hanna,M,40,1170,1:07:02,01:44,58 / 315 / 369,05:57,5:46:07,19.42,44 / 265 / 290,03:04,4:28:55,10:15,62 / 301 / 359,11:31:05
43,245,282,Howard Fowler,M,40,1215,1:20:39,02:05,214 / 920 / 1123,04:26,5:42:54,19.6,39 / 241 / 263,02:36,4:20:38,09:56,47 / 252 / 303,11:31:13
44,251,289,GARY BRANDENBURG,M,40,1218,1:08:22,01:46,71 / 387 / 454,07:14,5:56:58,18.83,62 / 359 / 399,03:04,4:17:05,09:48,43 / 235 / 283,11:32:43
45,272,316,THOMAS WOOD,M,40,1216,1:04:35,01:40,37 / 237 / 279,05:42,5:51:58,19.09,51 / 313 / 345,03:54,4:32:57,10:25,74 / 332 / 395,11:39:06
46,285,329,MICHAEL HENNESSEY,M,40,1312,1:08:18,01:46,69 / 379 / 445,07:06,5:53:52,18.99,58 / 329 / 365,06:30,4:29:41,10:17,65 / 306 / 364,11:45:27
47,288,332,TOMMY BOUDREAUX,M,40,1116,1:13:10,01:53,121 / 594 / 722,08:21,6:08:42,18.23,95 / 493 / 548,05:47,4:11:16,09:35,36 / 203 / 244,11:47:16
48,289,333,CLIFF HESSON,M,40,1090,1:03:11,01:38,28 / 188 / 222,07:46,5:56:59,18.82,63 / 361 / 401,06:20,4:33:20,10:25,76 / 335 / 399,11:47:36
49,291,335,AL MORINAKA,M,40,1193,1:04:59,01:40,40 / 245 / 289,06:26,5:51:43,19.11,50 / 306 / 338,02:22,4:42:33,10:47,85 / 398 / 474,11:48:03
50,294,338,Joe Gervais,M,40,1220,1:04:32,01:40,36 / 235 / 277,05:31,5:46:39,19.39,45 / 269 / 295,02:08,4:50:01,11:04,97 / 450 / 540,11:48:51
51,299,344,Mark Enstone,M,40,1390,1:12:21,01:52,117 / 568 / 681,05:42,6:04:54,18.42,81 / 443 / 494,03:40,4:24:17,10:05,54 / 263 / 317,11:50:54
52,303,349,Charles Settles,M,40,1157,1:02:46,01:37,24 / 169 / 200,05:10,6:08:58,18.21,96 / 496 / 551,05:05,4:30:01,10:18,66 / 312 / 370,11:52:00
53,306,353,John J. Smith,M,40,1318,1:14:11,01:55,139 / 651 / 787,06:18,5:48:59,19.26,47 / 279 / 309,04:33,4:38:43,10:38,79 / 369 / 439,11:52:44
54,308,355,DARYL LANEY,M,40,1379,1:18:53,02:02,192 / 856 / 1040,07:06,5:52:50,19.05,54 / 320 / 354,02:52,4:31:30,10:21,72 / 320 / 382,11:53:11
55,310,357,Jeffrey Schultz,M,40,1299,1:03:29,01:38,33 / 207 / 245,05:57,6:19:28,17.71,122 / 607 / 686,04:29,4:20:03,09:55,46 / 249 / 299,11:53:26
56,325,374,TODD MALLOW,M,40,1240,1:12:06,01:52,110 / 549 / 657,06:52,5:55:13,18.92,61 / 340 / 379,04:16,4:38:12,10:37,78 / 366 / 435,11:56:39
57,332,384,JOEY CHILANO,M,40,1159,1:12:13,01:52,113 / 558 / 668,06:24,5:50:48,19.16,49 / 296 / 328,03:53,4:45:34,10:53,90 / 414 / 497,11:58:52
58,338,391,Kris Milobar,M,40,1375,1:14:54,01:56,150 / 686 / 827,07:23,6:07:26,18.29,91 / 483 / 538,08:09,4:21:39,09:59,50 / 258 / 310,11:59:31
