A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,25,25,Brent Lorenzen,M,40,-,54:16,01:24,13 / 68 / 82,,4:58:29,22.51,4 / 44 / 47,,3:17:06,07:31,6 / 34 / 41,9:14:22
2,32,36,Anthony Philippe,M,40,-,1:11:03,01:50,54 / 294 / 348,,5:04:04,22.1,8 / 58 / 64,,3:04:30,07:02,3 / 16 / 18,9:25:55
3,35,40,Uzziel Valderrabano,M,40,-,1:01:59,01:36,19 / 113 / 132,,5:07:28,21.86,14 / 75 / 83,,3:14:44,07:25,5 / 29 / 35,9:29:00
4,42,50,Kelly Williamson,M,40,-,1:09:22,01:47,42 / 244 / 291,,4:58:53,22.48,5 / 47 / 50,,3:24:05,07:47,7 / 50 / 61,9:37:56
5,54,65,Fernando Gabriel,M,40,-,1:04:26,01:40,24 / 151 / 178,,5:04:51,22.04,12 / 62 / 68,,3:29:23,07:59,13 / 76 / 90,9:44:18
6,55,66,Jorge Ariel Rodriguez,M,40,-,1:05:08,01:41,26 / 160 / 192,,4:56:48,22.64,3 / 38 / 39,,3:37:57,08:19,16 / 110 / 131,9:46:24
7,60,72,J·gen Telahr,M,40,-,1:11:32,01:51,63 / 319 / 377,,4:53:42,22.88,1 / 31 / 32,,3:36:41,08:16,14 / 102 / 123,9:48:11
8,63,76,Ignacio Galarraga,M,40,-,1:10:48,01:49,52 / 284 / 335,,5:04:09,22.09,9 / 59 / 65,,3:28:45,07:58,10 / 71 / 85,9:50:10
9,64,77,Benoit Racadot,M,40,-,1:04:29,01:40,25 / 154 / 181,,4:53:57,22.86,2 / 32 / 33,,3:47:06,08:40,25 / 158 / 185,9:50:26
10,67,80,Darren Rentch,M,40,-,1:09:10,01:47,40 / 233 / 278,,5:19:53,21.01,24 / 136 / 153,,3:14:02,07:24,4 / 27 / 33,9:51:46
11,81,98,Pedro Leon,M,40,-,1:10:43,01:49,50 / 280 / 331,,5:13:44,21.42,17 / 101 / 113,,3:27:01,07:54,8 / 62 / 73,9:58:09
12,90,109,Federico Schneeberger,M,40,-,1:09:50,01:48,45 / 257 / 306,,5:18:07,21.12,19 / 125 / 142,,3:29:21,07:59,12 / 75 / 89,10:05:05
13,92,111,Alexey Panferov,M,40,-,1:18:01,02:01,82 / 437 / 531,,5:03:51,22.12,7 / 57 / 63,,3:37:20,08:17,15 / 105 / 126,10:06:03
14,94,113,Steffen Koempf,M,40,-,1:09:35,01:48,43 / 247 / 295,,5:04:46,22.05,11 / 61 / 67,,3:49:20,08:45,29 / 174 / 204,10:09:21
15,96,115,Martin Rouillard,M,40,-,1:03:27,01:38,22 / 135 / 158,,5:30:59,20.3,40 / 217 / 237,,3:28:23,07:57,9 / 68 / 82,10:09:40
16,100,120,Markus Pfandt,M,40,-,1:11:29,01:51,60 / 315 / 373,,5:04:26,22.07,10 / 60 / 66,,3:48:45,08:43,28 / 169 / 197,10:10:48
17,105,125,Carlos David Prieto Lopez,M,40,-,1:00:04,01:33,16 / 103 / 122,,5:26:50,20.56,32 / 184 / 204,,3:40:29,08:24,18 / 125 / 146,10:13:34
