A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,23,23,Thorsten Schulte,M,40,1080,1:07:12,01:44,58 / 308 / 355,05:33,4:40:36,23.95,1 / 17 / 17,04:22,3:07:57,07:10,1 / 22 / 24,9:05:40
2,35,38,FRANK MAYER,M,40,1092,1:09:52,01:48,97 / 449 / 525,04:40,4:47:46,23.35,4 / 51 / 51,01:46,3:11:43,07:19,2 / 29 / 33,9:15:45
3,52,57,Scott Duprex,M,40,1246,55:52,01:26,2 / 22 / 23,04:43,4:49:49,23.19,8 / 73 / 73,03:50,3:30:07,08:01,13 / 98 / 109,9:24:18
4,54,59,Hans-christian Muegge,M,40,1254,1:06:16,01:42,47 / 256 / 297,05:17,4:58:01,22.55,21 / 130 / 139,02:11,3:15:02,07:26,4 / 42 / 46,9:26:46
5,65,71,Peter Hyland,M,40,1229,1:11:02,01:50,115 / 492 / 573,08:00,4:56:17,22.68,16 / 115 / 121,02:20,3:12:58,07:21,3 / 32 / 36,9:30:34
6,77,85,Eligio Pimentel,M,40,1351,1:02:28,01:37,18 / 114 / 132,04:49,4:48:21,23.3,5 / 60 / 60,07:17,3:33:21,08:08,15 / 112 / 124,9:36:14
7,79,87,Robert Allison,M,40,1301,1:03:59,01:39,30 / 170 / 197,05:31,4:49:47,23.19,7 / 72 / 72,04:08,3:33:47,08:09,17 / 116 / 128,9:37:10
8,83,91,Iain Hindes,M,40,1117,59:20,01:32,5 / 46 / 48,05:17,5:00:47,22.34,25 / 148 / 159,04:26,3:29:40,08:00,12 / 95 / 106,9:39:27
9,84,92,Sean Snow,M,40,1414,1:02:38,01:37,20 / 120 / 140,04:51,5:03:58,22.11,32 / 179 / 191,02:36,3:26:08,07:52,9 / 72 / 82,9:40:10
10,88,96,Andrew Strong,M,40,1379,1:14:55,01:56,206 / 767 / 920,06:33,4:53:52,22.87,14 / 103 / 105,03:59,3:22:58,07:44,6 / 62 / 69,9:42:14
11,91,100,Bernhard Bohmer,M,40,1341,1:12:36,01:52,150 / 606 / 709,05:26,4:56:24,22.67,17 / 116 / 123,02:29,3:27:28,07:55,10 / 78 / 89,9:44:21
12,95,104,Guido Cornella,M,40,1102,1:08:01,01:45,71 / 358 / 411,05:44,4:50:26,23.14,9 / 75 / 76,02:29,3:39:15,08:22,22 / 143 / 161,9:45:53
13,96,105,Ben Volk,M,40,1424,1:13:30,01:54,170 / 679 / 806,05:45,5:02:49,22.19,29 / 171 / 183,02:20,3:22:00,07:42,5 / 60 / 67,9:46:23
14,102,111,Matthias Ziegler,M,40,1022,1:10:51,01:50,110 / 485 / 565,05:50,4:47:43,23.36,3 / 50 / 50,02:17,3:41:46,08:27,28 / 161 / 181,9:48:25
15,105,114,Guenter Grasmugg,M,40,1428,1:03:20,01:38,27 / 149 / 172,04:37,4:46:48,23.43,2 / 41 / 41,03:31,3:51:03,08:49,41 / 221 / 260,9:49:16
16,108,118,Wayne Morris,M,40,1230,1:16:41,01:59,234 / 859 / 1038,05:42,4:57:07,22.62,18 / 121 / 128,04:56,3:25:52,07:51,8 / 71 / 81,9:50:17
17,113,123,Gary Bub,M,40,1421,1:11:34,01:51,126 / 526 / 618,06:22,5:02:08,22.24,27 / 161 / 173,03:57,3:27:58,07:56,11 / 86 / 97,9:51:56
18,115,125,Thierry Paillot,M,40,1023,1:16:20,01:58,231 / 843 / 1015,05:43,5:03:04,22.17,30 / 174 / 186,02:48,3:24:14,07:47,7 / 66 / 74,9:52:07
19,119,129,Don Packard,M,40,1383,1:02:44,01:37,23 / 124 / 144,06:58,5:08:16,21.8,48 / 227 / 243,04:07,3:30:52,08:02,14 / 103 / 114,9:52:55
20,124,135,Jamie Blunden,M,40,1188,1:11:36,01:51,127 / 529 / 621,04:14,4:48:41,23.28,6 / 63 / 63,02:18,3:47:19,08:40,37 / 197 / 225,9:54:06
21,133,145,Stephane Perrot,M,40,1345,1:06:44,01:43,53 / 283 / 327,05:35,4:52:53,22.94,11 / 92 / 94,02:26,3:49:19,08:45,39 / 205 / 240,9:56:57
