A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,30,33,Kevin WEST,M,40,1150,1:10:06,01:48,76 / 456 / 499,03:42,4:52:11,23,1 / 18 / 18,02:25,3:31:51,08:05,3 / 43 / 45,9:40:15
2,36,39,Michel KANDEL,M,40,1187,58:18,01:30,4 / 75 / 84,02:50,5:02:53,22.19,4 / 44 / 44,02:45,3:37:36,08:18,7 / 59 / 65,9:44:22
3,37,40,Eric DE BEUCKELAER,M,40,1059,1:05:37,01:41,44 / 291 / 320,03:24,5:03:28,22.14,5 / 46 / 46,04:32,3:27:34,07:55,2 / 33 / 35,9:44:35
4,44,47,Gary PEARCE,M,40,1074,1:01:31,01:35,12 / 157 / 177,02:10,5:01:08,22.32,2 / 38 / 38,02:25,3:41:43,08:27,10 / 75 / 85,9:48:57
5,63,68,Anton DU PLESSIS,M,40,1003,1:02:40,01:37,19 / 191 / 211,03:22,5:08:40,21.77,11 / 65 / 66,02:13,3:47:11,08:40,15 / 100 / 114,10:04:06
6,67,72,Bernhard STAEMPFLI,M,40,1008,1:16:09,01:58,144 / 758 / 855,04:44,5:04:57,22.04,8 / 52 / 52,03:01,3:36:57,08:16,6 / 55 / 61,10:05:48
7,69,75,Hugo LEMMEN,M,40,1109,55:45,01:26,2 / 49 / 56,02:34,5:27:52,20.5,35 / 201 / 213,04:42,3:36:36,08:16,5 / 54 / 59,10:07:29
8,76,83,Mike STEVENSON,M,40,1191,1:06:13,01:42,49 / 321 / 354,04:43,5:12:33,21.5,16 / 85 / 87,03:18,3:44:49,08:34,14 / 89 / 101,10:11:36
9,78,86,Kobus DE VOS,M,40,1152,1:12:24,01:52,106 / 589 / 646,04:53,5:11:56,21.54,15 / 81 / 83,02:25,3:41:36,08:27,9 / 73 / 83,10:13:14
10,81,89,Benoit BERNARD,M,40,1007,1:02:11,01:36,15 / 176 / 196,03:54,5:22:25,20.84,28 / 149 / 159,02:22,3:43:34,08:31,13 / 83 / 95,10:14:26
