A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,26,26,Warren Squires,M,40,777,1:01:45,01:37,25 / 130 / 151,04:02,4:50:43,23.08,5 / 25 / 25,02:05,3:21:11,07:40,1 / 23 / 24,9:19:48
2,29,29,Arnaud Selukov,M,40,767,58:36,01:32,8 / 67 / 78,03:22,4:47:02,23.38,2 / 17 / 17,01:30,3:31:22,08:03,4 / 50 / 56,9:21:54
3,33,34,Gavin Stuart,M,40,782,59:57,01:34,18 / 96 / 111,03:10,4:54:36,22.78,6 / 35 / 35,02:12,3:27:48,07:55,2 / 36 / 42,9:27:44
4,34,36,Mark Ariens,M,40,606,58:05,01:31,7 / 58 / 66,03:20,4:50:12,23.12,4 / 23 / 23,02:29,3:34:36,08:11,7 / 65 / 72,9:28:45
5,38,41,Michael Rees,M,40,755,52:24,01:22,2 / 16 / 16,02:47,5:02:17,22.2,15 / 77 / 79,02:13,3:34:18,08:10,6 / 62 / 69,9:34:01
6,54,60,Niall Mai,M,40,722,58:37,01:32,9 / 69 / 80,03:51,4:56:17,22.65,8 / 43 / 43,02:39,3:45:04,08:34,17 / 109 / 128,9:46:30
7,65,71,Damion Davis,M,40,646,1:02:39,01:38,32 / 150 / 174,03:33,5:09:35,21.68,20 / 109 / 117,02:18,3:33:53,08:09,5 / 60 / 67,9:52:00
8,67,73,Michael Baker,M,40,610,1:01:14,01:36,19 / 112 / 129,03:48,4:58:21,22.49,10 / 56 / 56,03:27,3:46:25,08:38,21 / 116 / 135,9:53:18
9,68,75,Troy Ward,M,40,802,58:49,01:32,10 / 78 / 90,04:01,4:58:49,22.46,11 / 59 / 59,04:41,3:47:46,08:41,23 / 125 / 144,9:54:07
10,69,76,Martin HERBRICH,M,40,684,1:07:32,01:46,61 / 282 / 335,04:57,4:54:41,22.77,7 / 36 / 36,03:19,3:44:16,08:33,14 / 105 / 122,9:54:47
11,72,79,Alistair Press,M,40,752,1:06:07,01:44,51 / 239 / 285,04:15,4:56:26,22.64,9 / 44 / 44,02:46,3:45:42,08:36,19 / 111 / 130,9:55:18
12,75,82,Andrew MacPherson,M,40,720,1:02:37,01:38,31 / 149 / 173,03:55,5:00:09,22.36,14 / 66 / 67,03:49,3:46:16,08:37,20 / 115 / 134,9:56:48
13,79,86,Matthew Illingworth,M,40,690,59:34,01:34,15 / 89 / 103,03:25,4:49:34,23.18,3 / 21 / 21,03:07,4:01:32,09:12,38 / 189 / 231,9:57:15
14,80,88,Brett Urwin,M,40,794,59:15,01:33,13 / 81 / 94,05:19,4:59:10,22.43,12 / 60 / 60,04:28,3:49:35,08:45,24 / 132 / 152,9:57:50
15,81,89,Felix Haldenstein,M,40,678,1:05:57,01:44,49 / 231 / 276,04:11,5:11:00,21.58,26 / 121 / 130,03:22,3:34:56,08:11,8 / 68 / 75,9:59:27
16,89,99,Chris Roberts,M,40,758,57:45,01:31,4 / 53 / 60,03:52,4:43:39,23.66,1 / 14 / 14,03:31,4:15:31,09:44,56 / 261 / 317,10:04:20
17,98,111,Hamish Deery,M,40,649,1:15:28,01:59,121 / 513 / 617,04:56,5:10:31,21.61,24 / 116 / 125,02:28,3:35:54,08:14,9 / 70 / 79,10:09:19
18,102,115,Bruce Pye,M,40,753,1:09:23,01:49,74 / 343 / 409,05:11,5:03:41,22.1,16 / 82 / 85,07:48,3:43:52,08:32,13 / 102 / 118,10:09:57
19,108,124,Shane Clarke,M,40,638,1:10:17,01:50,82 / 373 / 450,03:48,5:07:51,21.8,19 / 99 / 105,03:07,3:47:15,08:39,22 / 122 / 141,10:12:20
